criticalFound,Inspection_Date,Inspector_blue,Inspector_brown,Inspector_green,Inspector_orange,Inspector_purple,Inspector_yellow,pastSerious,pastCritical,timeSinceLast,ageAtInspection,consumption_on_premises_incidental_activity,tobacco_retail_over_counter,temperatureMax,heat_burglary,heat_sanitation,heat_garbage
0.0,15845,0,0,0,1,0,0,0.0,0.0,0.6876712328767123,1,0.0,0.0,72.00666666666666,22.262659043619188,29.505860568260303,27.03081901975953
0.0,15845,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,72.00666666666666,21.315122102471033,32.577052335720836,26.23574222238991
1.0,15845,0,0,0,1,0,0,0.0,0.0,1.3698630136986298,1,0.0,0.0,72.00666666666666,7.839040961133344,27.302500986840748,15.550562902043184
0.0,15847,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,81.76666666666667,2.477887049053731,8.615126753706447,17.580454218302048
0.0,15847,0,0,0,1,0,0,0.0,0.0,1.5369863013698633,1,0.0,0.0,81.76666666666667,2.5068817861540427,8.671925828133661,17.62855862611675
0.0,15847,0,0,0,1,0,0,0.0,0.0,0.9260273972602739,0,0.0,0.0,81.76666666666667,17.441996240629393,20.030735574559237,6.721789062784282
1.0,15848,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,79.75333333333333,1.7270038936549916,10.660565817282755,0.7991367365795348
0.0,15848,0,0,0,1,0,0,0.0,0.0,1.2136986301369863,1,0.0,0.0,79.75333333333333,32.69532698970941,28.23539307916987,14.839458586821381
0.0,15848,0,0,0,1,0,0,0.0,0.0,1.378082191780822,1,0.0,0.0,79.75333333333333,21.6860990664458,11.226706277875829,9.652351123248858
1.0,15849,0,0,0,1,0,0,0.0,0.0,0.7150684931506849,1,0.0,1.0,68.63666666666667,27.86146516347963,33.386520957774,50.0
0.0,15849,0,0,0,1,0,0,1.0,0.0,0.6054794520547945,0,0.0,1.0,68.63666666666667,47.9243743934768,27.55191545532677,31.472436928084644
1.0,15853,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,60.81333333333333,7.762308150332874,6.328692403542607,11.304519432612775
0.0,15853,0,0,0,1,0,0,0.0,0.0,1.2767123287671234,1,0.0,0.0,60.81333333333333,21.069910869642232,24.53229257209557,21.09912641884808
0.0,15861,0,0,0,1,0,0,1.0,1.0,0.9753424657534246,1,0.0,0.0,63.54333333333333,16.659097630849075,20.1398110948803,23.855785656854767
0.0,15866,0,0,0,1,0,0,0.0,0.0,0.6904109589041096,1,0.0,0.0,70.17333333333333,11.539804120615303,15.589840358039513,24.669659483442643
0.0,15866,0,0,0,1,0,0,0.0,0.0,1.5616438356164384,1,0.0,0.0,70.17333333333333,6.329404480289563,11.217116695732699,15.126109999850733
0.0,15866,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,70.17333333333333,32.140822897745146,4.663203000155058,17.066344897858514
0.0,15867,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,72.89666666666666,12.53313252860302,13.882900130623579,10.909149115129726
0.0,15867,0,0,0,1,0,0,0.0,0.0,1.1643835616438356,1,0.0,1.0,72.89666666666666,28.953950387931727,27.8439772782448,26.859149454323134
0.0,15867,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,72.89666666666666,6.8883696533596375,12.376892665799446,4.1071044864822674
1.0,15867,0,0,0,1,0,0,0.0,0.0,1.2438356164383562,0,0.0,0.0,72.89666666666666,21.33346179328836,24.11236698631761,18.983437418712693
0.0,15868,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,75.88666666666666,6.015068299633585,4.9751871336049005,21.575028561197623
0.0,15869,0,0,0,1,0,0,1.0,0.0,1.1479452054794521,1,0.0,0.0,76.17333333333333,31.02419287517779,42.353283594437784,8.646712880204001
0.0,15869,0,0,0,1,0,0,1.0,0.0,1.0986301369863014,1,0.0,0.0,76.17333333333333,15.150031254155152,8.491605517275072,12.964362796178445
0.0,15870,1,0,0,0,0,0,0.0,0.0,2.0,0,0.0,1.0,74.46333333333331,24.33576926098176,13.612739407791796,17.806163720545914
0.0,15870,0,0,0,1,0,0,0.0,0.0,1.747945205479452,1,0.0,1.0,74.46333333333331,11.25812281950125,7.028084540656929,17.33347631101368
1.0,15870,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,1.0,74.46333333333331,11.032308866313457,7.243833162763147,17.84388988324118
0.0,15870,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,1.0,74.46333333333331,5.115492673683738,8.96787201008308,23.864459617141147
0.0,15873,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,76.39333333333333,9.192501924719878,11.40715212652812,17.251479582420206
0.0,15874,0,0,0,1,0,0,0.0,0.0,1.2767123287671234,1,0.0,0.0,82.21666666666665,9.961445844338737,5.971407862209357,31.008583733763675
0.0,15874,0,0,0,1,0,0,0.0,0.0,0.7123287671232876,1,0.0,0.0,82.21666666666665,18.278262562852603,50.36970631770149,41.59314738935025
0.0,15875,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,78.16666666666667,10.190352348499239,1.4898264086573438,0.6882484911596309
0.0,15875,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,78.16666666666667,10.190352348499239,1.4898264086573438,0.6882484911596309
0.0,15875,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,78.16666666666667,7.759124786534567,12.090658913020306,6.278214838790808
0.0,15876,0,0,0,1,0,0,0.0,0.0,0.6904109589041096,0,0.0,0.0,74.75000000000001,20.264377804353078,6.804819673909829,24.558610336052432
0.0,15876,0,0,0,1,0,0,0.0,0.0,1.1205479452054794,1,0.0,0.0,74.75000000000001,37.72026204902605,42.381034690065825,7.751940060915768
0.0,15896,0,0,0,1,0,0,0.0,0.0,1.6054794520547946,0,0.0,0.0,84.62666666666667,2.6720076743759664,0.6524193362199912,2.480607137111636
0.0,15896,0,0,0,1,0,0,0.0,0.0,0.8,1,0.0,0.0,84.62666666666667,45.37057207145559,13.630994606173088,18.36074303441953
0.0,15897,0,0,0,1,0,0,0.0,0.0,1.1506849315068493,1,0.0,0.0,82.82666666666667,36.65566613147676,16.66146299759362,20.355400926668672
1.0,15897,0,0,0,1,0,0,0.0,0.0,1.3123287671232875,1,1.0,0.0,82.82666666666667,46.19596008693839,11.792970937506098,17.82767326178259
1.0,15898,1,0,0,0,0,0,0.0,0.0,2.0,1,0.0,1.0,79.7,34.26766162727015,37.25194633537495,32.9149253234891
1.0,15898,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,1.0,79.7,22.959520304104448,56.095877371583605,23.97572907427177
0.0,15898,1,0,0,0,0,0,0.0,0.0,2.0,0,0.0,1.0,79.7,57.07301187042881,57.10291353937676,35.71774229412523
0.0,15908,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,86.39666666666666,20.697456569906553,8.421024397561268,9.442816747834943
1.0,15908,0,0,0,1,0,0,1.0,0.0,0.6109589041095891,1,1.0,0.0,86.39666666666666,20.998796391499386,8.286693175332562,9.06124403532812
1.0,15910,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,82.20666666666666,45.34682739949772,16.65134873841572,18.963219336016465
0.0,15916,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,68.31666666666666,22.727100219268628,9.707048508943602,24.596914806487323
1.0,15919,0,0,0,1,0,0,0.0,0.0,1.6301369863013702,1,0.0,1.0,75.23,31.201227077562777,31.08571871847805,39.719319118420046
0.0,15929,0,0,0,1,0,0,0.0,0.0,0.5671232876712329,1,0.0,0.0,77.56333333333333,10.520420362656417,5.905283130667683,3.56480824207517
0.0,15929,0,0,0,1,0,0,0.0,0.0,2.0,1,1.0,0.0,77.56333333333333,17.376596016019217,6.1621842420825255,17.74642695678011
0.0,15929,0,0,0,1,0,0,0.0,0.0,0.9287671232876712,0,0.0,0.0,77.56333333333333,17.655336387234524,6.130948914299848,17.69906029152432
1.0,15931,0,0,0,1,0,0,0.0,0.0,2.0,0,1.0,0.0,76.73333333333333,20.94184253782385,5.7001768563191915,15.865433895875135
0.0,15932,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,73.67666666666666,18.92606999821946,6.300746101643419,17.088039889998505
0.0,15933,0,0,0,1,0,0,1.0,0.0,0.9808219178082191,1,0.0,0.0,70.53,17.749978888410336,6.5378742812378325,16.386990424400686
0.0,15933,0,0,0,1,0,0,0.0,0.0,1.227397260273973,1,1.0,0.0,70.53,24.730652416185823,7.160845737074316,16.748454920765568
0.0,15936,0,0,0,1,0,0,0.0,0.0,1.0328767123287672,1,0.0,0.0,76.57666666666667,17.425348840894856,6.673679233603723,16.459840937276113
0.0,15936,0,0,0,1,0,0,0.0,1.0,1.0438356164383562,1,0.0,0.0,76.57666666666667,24.03391994286573,7.829501788862474,18.135580604208677
0.0,15944,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,1.0,85.74666666666667,12.387301279342086,21.777387204527503,16.93397037338764
1.0,15944,0,0,0,1,0,0,0.0,0.0,0.726027397260274,1,0.0,0.0,85.74666666666667,14.080664676039696,11.885415075104305,18.943009933623067
0.0,15953,0,0,0,1,0,0,0.0,0.0,1.7726027397260269,1,0.0,0.0,75.93,12.289042556045047,7.305794587784381,2.4790011937687155
0.0,15954,0,0,0,1,0,0,0.0,0.0,1.4027397260273973,1,0.0,1.0,76.6566666666667,46.1382506502494,11.404980286124752,28.346601411216675
